chain_id,dex_id,factory_address,geckoterminal_url,name,router_address
250,,,https://www.geckoterminal.com/ftm/radioshack_fantom/pools,RadioShack (Fantom),
250,,,https://www.geckoterminal.com/ftm/redemption/pools,Redemption,
250,,,https://www.geckoterminal.com/ftm/dfyn_fantom/pools,Dfyn (Fantom),
250,,,https://www.geckoterminal.com/ftm/wagmi-fantom/pools,WAGMI (Fantom),
250,,,https://www.geckoterminal.com/ftm/kyberswap_classic_fantom/pools,Kyberswap Classic (Fantom),
250,,,https://www.geckoterminal.com/ftm/firebird_fantom/pools,Firebird (Fantom),
250,,,https://www.geckoterminal.com/ftm/metropolis/pools,Metropolis,
250,,,https://www.geckoterminal.com/ftm/skullswap/pools,SkullSwap,
288,,,https://www.geckoterminal.com/boba/oolongswap/pools,Oolongswap,
288,,,https://www.geckoterminal.com/boba/swapperchan/pools,SwapperChan,
314,,,https://www.geckoterminal.com/filecoin/puppyswap/pools,Puppyswap,
321,,,https://www.geckoterminal.com/kcc/mojitoswap/pools,MojitoSwap,
321,,,https://www.geckoterminal.com/kcc/kuswap/pools,Kuswap,
321,,,https://www.geckoterminal.com/kcc/elk_finance_kcc/pools,Elk Finance (KCC),
324,,,https://www.geckoterminal.com/zksync/syncswap/pools,SyncSwap,
324,,,https://www.geckoterminal.com/zksync/mute/pools,Mute,
324,,,https://www.geckoterminal.com/zksync/spacefi_zksync/pools,SpaceFi (ZkSync),
324,,,https://www.geckoterminal.com/zksync/velocore/pools,Velocore,
324,,,https://www.geckoterminal.com/zksync/wagmi-zksync/pools,WAGMI (zkSync),
324,,,https://www.geckoterminal.com/zksync/gemswap/pools,GemSwap,
324,,,https://www.geckoterminal.com/zksync/onsen-swap/pools,Onsen Swap,
324,,,https://www.geckoterminal.com/zksync/solunea/pools,Solunea,
324,,,https://www.geckoterminal.com/zksync/merlin-dex/pools,MERLIN DEX,
336,,,https://www.geckoterminal.com/sdn/standard_protocol/pools,Standard Protocol,
336,,,https://www.geckoterminal.com/sdn/polkaex_shiden/pools,PolkaEx (Shiden),
416,,,https://www.geckoterminal.com/sxn/sharkswap/pools,SharkSwap,
530,,,https://www.geckoterminal.com/fx/fx_swap/pools,Fx Swap,
592,,,https://www.geckoterminal.com/astr/arthswap/pools,Arthswap,
592,,,https://www.geckoterminal.com/astr/zenlink_astar/pools,Zenlink (Astar),
592,,,https://www.geckoterminal.com/astr/starswap/pools,StarSwap,
592,,,https://www.geckoterminal.com/astr/versa/pools,Versa,
592,,,https://www.geckoterminal.com/astr/polkaex_astar/pools,PolkaEx (Astar),
592,,,https://www.geckoterminal.com/astr/ags_finance/pools,AGS Finance,
592,,,https://www.geckoterminal.com/astr/funbeast/pools,FunBeast,
592,,,https://www.geckoterminal.com/astr/astar-exchange-v3/pools,Astar Exchange V3,
592,,,https://www.geckoterminal.com/astr/astar_exchange/pools,Astar Exchange,
820,,,https://www.geckoterminal.com/callisto/soy-finance-callisto/pools,Soy Finance (Callisto),
877,,,https://www.geckoterminal.com/dexit_network/dexit_finance/pools,Dexit Finance,
888,,,https://www.geckoterminal.com/wan/wanswap/pools,WanSwap,
1024,,,https://www.geckoterminal.com/clover-finance/huckleberry_clv/pools,Huckleberry (CLV),
1030,,,https://www.geckoterminal.com/cfx/swappi/pools,Swappi,
1088,,,https://www.geckoterminal.com/metis/hermes_protocol/pools,Hermes Protocol,
1088,,,https://www.geckoterminal.com/metis/netswap/pools,Netswap,
1088,,,https://www.geckoterminal.com/metis/tethys/pools,Tethys,
1088,,,https://www.geckoterminal.com/metis/standard/pools,Standard,
